motif_id,motif_name,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
M0967-1.02,(CG34367)_(Mus_musculus)_(DBD_0.96),0.0009451827804049195,0.0009451827804049195,0.007031958264514237,0.008330410591401178
M1470-1.02,ftz-f1,0.0007823974705690577,0.0007823974705690577,0.0031309598121516138,0.004135381125176225
M2325-1.02,BEAF-32,0.0006985604739941103,0.0006985604739941103,0.0037787678004788396,0.0044548096111700144
M5007-1.02,HGTX,-0.0006439483277309177,0.0006439483277309177,0.0017601809874362888,0.001984730429624539
M1986-1.02,CG18599,0.0006327055940721136,0.0006327055940721136,0.002106418516309707,0.0024309199891416632
M4879-1.02,CG7745,0.0005812753870761585,0.0005812753870761585,0.0023486245927395693,0.002836201219580673
M5280-1.02,zen,-0.0005811061561334277,0.0005811061561334277,0.0010481851064979852,0.0014391835146503793
M2060-1.02,FBgn0261930,-0.0005329967430075932,0.0005329967430075932,0.0019178884487427912,0.0030570095731786238
M2013-1.02,Six4,-0.0005093513333746534,0.0005093513333746534,0.00784297229284093,0.010481692882466892
M4747-1.02,Atf-2,-0.0005015051559052692,0.0005015051559052692,0.0026316577670848686,0.0037902271115201904
M5152-1.02,phol,0.0004772896214425266,0.0004772896214425266,0.0014545933667947815,0.0016947094587066113
M2027-1.02,ct,-0.0004716857779408982,0.0004716857779408982,0.0019826082413216535,0.002845244923716036
M4728-1.02,Adf1,-0.00044616915252924835,0.00044616915252924835,0.0017160893878319,0.0022845739293283745
M2061-1.02,vvl,-0.00042550990555776573,0.00042550990555776573,0.004907652403742543,0.006608535115594905
M5272-1.02,vri,0.0004171153405116698,0.0004171153405116698,0.0020811113211823733,0.002662097197651012
M6394-1.02,(Hr38)_(Homo_sapiens)_(DBD_0.90),0.0004131661150109187,0.0004131661150109187,0.001759958462641263,0.0023057093495470853
M4788-1.02,C15,0.00041091449362140874,0.00041091449362140874,0.0021590968423159905,0.0026668081839850235
M5101-1.02,Mnt,0.00040994086482677467,0.00040994086482677467,0.001204113098553844,0.0014301752876213123
M4899-1.02,crp,0.00039613198639604496,0.00039613198639604496,0.003667311098649495,0.0046469149491642865
M4820-1.02,CG13424,-0.0003961134900510847,0.0003961134900510847,0.003219357408923722,0.004206948290481517
M4677-1.02,kni,0.00039518314360555346,0.00039518314360555346,0.001739265187101074,0.0020209249890344645
M0723-1.02,(CG9571)_(Mus_musculus)_(DBD_0.64),0.0003934394971902903,0.0003934394971902903,0.0015534058679616632,0.001938357989204821
M2040-1.02,lbl,0.00037578276632762995,0.00037578276632762995,0.0030039532342896655,0.0036394533932057123
M2024-1.02,btn,-0.00035626813184693335,0.00035626813184693335,0.001178022530271983,0.001531103070013016
M5209-1.02,Sp1,0.00034778273631838624,0.00034778273631838624,0.0016359394483053027,0.0019883004978375096
M1093-1.02,so,0.0003459754722805847,0.0003459754722805847,0.004644962215808178,0.005729146960261484
