motif_id,motif_name,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
M5079-1.02,lmd,0.0010980816,0.0010980816,0.014165589,0.018905163
M5224-1.02,tai,0.0010657511,0.0010657511,0.0047209775,0.0069945613
M0723-1.02,(CG9571)_(Mus_musculus)_(DBD_0.64),-0.0010199269,0.0010199269,0.029087232,0.05458039
M4830-1.02,FBgn0262477,-0.000984169,0.000984169,0.015614903,0.025135005
M4973-1.02,foxo,0.00096369215,0.00096369215,0.029378379,0.036324818
M4820-1.02,CG13424,0.0009078634,0.0009078634,0.10497895,0.14288281
M5174-1.02,Rx,-0.0008784165,0.0008784165,0.020162137,0.02350258
M5256-1.02,twi,0.0008754806,0.0008754806,0.23563677,0.30848166
M4811-1.02,FBgn0263239,0.0008337789,0.0008337789,0.011831926,0.01992602
M1529-1.02,(CG9727)_(Mus_musculus)_(DBD_0.51),0.00082641916,0.00082641916,0.07276871,0.087868795
M4837-1.02,CG3065,0.0007768173,0.0007768173,0.007563762,0.010750969
M5011-1.02,HLH4C,0.00074293226,0.00074293226,0.018345581,0.021047223
M1102-1.02,CG15696,-0.000727008,0.000727008,0.043161917,0.059729222
M1850-1.02,usp,-0.0007192031,0.0007192031,0.025941454,0.036119513
M4750-1.02,ato,-0.00070514536,0.00070514536,0.039128732,0.051700838
M4829-1.02,FBgn0263240,-0.00063936156,0.00063936156,0.08005972,0.103834376
M1469-1.02,Hr46,-0.0006277405,0.0006277405,0.017142842,0.023846753
M1091-1.02,eve,0.000538829,0.000538829,0.005513296,0.0069457768
M1097-1.02,Awh,0.00052078627,0.00052078627,0.0034747259,0.010345983
M2037-1.02,inv,-0.0004976714,0.0004976714,0.023887744,0.035575323
M4817-1.02,CG12605,0.0004597886,0.0004597886,0.068250634,0.08012
M1977-1.02,B-H1,-0.00044083595,0.00044083595,0.014339606,0.031095238
M1912-1.02,Su(H),0.0004102776,0.0004102776,0.035912894,0.046853494
M4918-1.02,FBgn0262656,-0.0003783582,0.0003783582,0.009753161,0.02080778
M4803-1.02,CG11071,-0.00033872057,0.00033872057,0.1759887,0.19898397
M4847-1.02,CG32830,-0.0002931979,0.0002931979,0.002801885,0.010359662
M1993-1.02,CG9876,-0.00021821394,0.00021821394,0.0049300794,0.008293211
M1599-1.02,(Sox21b)_(Mus_musculus)_(DBD_0.93),-0.00014808508,0.00014808508,0.1175445,0.157564
M4676-1.02,Myb,0.00012985207,0.00012985207,0.09426776,0.10847018
M5047-1.02,jigr1,0.0001254311,0.0001254311,0.02066871,0.029687492
M5222-1.02,sv,-8.261326e-05,8.261326e-05,0.01927204,0.027449338
M1095-1.02,bap,2.7897942e-05,2.7897942e-05,0.14935766,0.2129933
M4985-1.02,gl,-2.3302318e-05,2.3302318e-05,0.009302895,0.01683126
M4892-1.02,ci,2.2415938e-05,2.2415938e-05,0.007712875,0.018079272
M5221-1.02,svp,0.0,0.0,0.0,0.0
M5273-1.02,wor,0.0,0.0,0.0,0.0
M5207-1.02,Sox14,0.0,0.0,0.0,0.0
M4894-1.02,cyc,0.0,0.0,0.0,0.0
M5199-1.02,slp2,0.0,0.0,0.0,0.0
M5029-1.02,h,0.0,0.0,0.0,0.0
M2058-1.02,unpg,0.0,0.0,0.0,0.0
M4896-1.02,CG6272,0.0,0.0,0.0,0.0
M5075-1.02,Lim1,0.0,0.0,0.0,0.0
M2252-1.02,H2.0,0.0,0.0,0.0,0.0
M5064-1.02,l(1)sc,0.0,0.0,0.0,0.0
M5051-1.02,kay,0.0,0.0,0.0,0.0
M4725-1.02,da,0.0,0.0,0.0,0.0
M5027-1.02,Hmx,0.0,0.0,0.0,0.0
M2049-1.02,ro,0.0,0.0,0.0,0.0
M4732-1.02,al,0.0,0.0,0.0,0.0
M4745-1.02,ase,0.0,0.0,0.0,0.0
M5007-1.02,HGTX,0.0,0.0,0.0,0.0
M4806-1.02,CG11294,0.0,0.0,0.0,0.0
M4930-1.02,dys,0.0,0.0,0.0,0.0
M4919-1.02,Max,0.0,0.0,0.0,0.0
M4876-1.02,CG7368,0.0,0.0,0.0,0.0
M2057-1.02,unc-4,0.0,0.0,0.0,0.0
M2046-1.02,pb,0.0,0.0,0.0,0.0
M1978-1.02,B-H2,0.0,0.0,0.0,0.0
M2009-1.02,Pph13,0.0,0.0,0.0,0.0
