motif_id,motif_name,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
M4869-1.02,CG5180,-0.012827528,0.012827528,0.07154355,0.08624122
M4831-1.02,CG17181,0.012665356,0.012665356,0.110140346,0.1213987
M4939-1.02,Eip93F,0.012529368,0.012529368,0.033794798,0.05033009
M5004-1.02,Her,0.012469376,0.012469376,0.020407911,0.032793738
M4842-1.02,CG31782,-0.012323221,0.012323221,0.043418124,0.06202871
M5022-1.02,HLHm7,-0.012220174,0.012220174,0.027016677,0.034194533
M5177-1.02,sage,-0.011996281,0.011996281,0.033339027,0.045878418
M5247-1.02,Trl,0.011912869,0.011912869,0.091472514,0.10946152
M5148-1.02,pfk,0.011746929,0.011746929,0.026200823,0.040421113
M4794-1.02,cato,-0.011739282,0.011739282,0.16168113,0.174928
M5030-1.02,Hnf4,-0.011697204,0.011697204,0.03913096,0.04840916
M4863-1.02,CG4328,0.011554966,0.011554966,0.117027245,0.14740884
M4840-1.02,CG31670,-0.011521158,0.011521158,0.06565881,0.1068935
M4891-1.02,FBgn0262582,-0.0114148995,0.0114148995,0.05533874,0.07306781
M1975-1.02,Antp,0.011302019,0.011302019,0.026186714,0.03710938
M5144-1.02,pan,-0.011287775,0.011287775,0.087445065,0.10112741
M5280-1.02,zen,-0.011266353,0.011266353,0.034355532,0.05586247
M5020-1.02,HLHm5,-0.011094095,0.011094095,0.02239783,0.033187225
M4974-1.02,fru,-0.01109107,0.01109107,0.032156013,0.047424167
M4803-1.02,CG11071,-0.011074208,0.011074208,0.08154863,0.09569833
M1599-1.02,(Sox21b)_(Mus_musculus)_(DBD_0.93),-0.010969502,0.010969502,0.063280724,0.07966252
M1104-1.02,FBgn0054031,-0.01095027,0.01095027,0.041727874,0.057761237
M5103-1.02,Mes2,-0.010783476,0.010783476,0.102675356,0.121543765
M5047-1.02,jigr1,0.010735961,0.010735961,0.043023728,0.05057214
M4769-1.02,bowl,-0.010668076,0.010668076,0.038043156,0.04914978
M4962-1.02,exex,-0.01065689,0.01065689,0.12941602,0.16522744
M4900-1.02,cwo,0.010639095,0.010639095,0.070057705,0.091434345
M4883-1.02,CG8319,0.010475615,0.010475615,0.068532445,0.07981178
M4933-1.02,EcR,0.010430294,0.010430294,0.054536026,0.06888994
M2247-1.02,btd,-0.010175668,0.010175668,0.050061677,0.068562485
M4860-1.02,CG3919,-0.009910072,0.009910072,0.05025476,0.09286034
M2016-1.02,achi,0.009877038,0.009877038,0.08313677,0.103909805
M4824-1.02,CG14962,0.009840912,0.009840912,0.035015725,0.049340833
M5213-1.02,srp,-0.009679862,0.009679862,0.10148422,0.12062298
M4675-1.02,Mef2,-0.009658307,0.009658307,0.08987065,0.117837675
M6501-1.02,(HLH3B)_(Homo_sapiens)_(DBD_0.81),0.009499302,0.009499302,0.14660887,0.17561644
M4914-1.02,disco,-0.009479553,0.009479553,0.038393363,0.072175175
M5128-1.02,Oli,-0.009435391,0.009435391,0.021783207,0.026350768
M5168-1.02,rn,0.00935662,0.00935662,0.025883785,0.03131177
M4673-1.02,fkh,-0.00934963,0.00934963,0.047293223,0.07206486
M1099-1.02,Ptx1,-0.009170895,0.009170895,0.029631574,0.039560456
M4783-1.02,Bteb2,-0.009076,0.009076,0.03340131,0.04426332
M0319-1.02,(CrebB-17A)_(Mus_musculus)_(DBD_0.79),-0.009006343,0.009006343,0.037286714,0.05066157
M1096-1.02,Gsc,0.008957929,0.008957929,0.04208367,0.05343183
M4906-1.02,FBgn0263118,-0.008902965,0.008902965,0.05651959,0.06802215
M2039-1.02,lbe,-0.008865682,0.008865682,0.038783476,0.043371964
M5037-1.02,Hr83,0.0088487705,0.0088487705,0.036781665,0.043208275
M4988-1.02,grh,0.008650711,0.008650711,0.08002594,0.10428919
M4770-1.02,brk,-0.008629867,0.008629867,0.0549328,0.06356837
M1524-1.02,(Rfx)_(Apis_mellifera)_(DBD_0.78),-0.0085808225,0.0085808225,0.067960545,0.082651384
M4938-1.02,Eip78C,-0.008564215,0.008564215,0.14027815,0.15712315
M5256-1.02,twi,-0.008563473,0.008563473,0.02101654,0.027927138
M4790-1.02,cad,0.008315387,0.008315387,0.052560724,0.063905425
M0576-1.02,danr,-0.008303221,0.008303221,0.18723582,0.21134087
M4730-1.02,Aef1,-0.0082528945,0.0082528945,0.06299164,0.085109085
M4809-1.02,CG11617,0.008167319,0.008167319,0.034009345,0.046626776
M5263-1.02,Usf,-0.008123064,0.008123064,0.06398159,0.07946676
