motif_id,motif_name,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
M4819-1.02,CG12768,0.019782716,0.019782716,0.14044064,0.16299732
M1101-1.02,Vsx1,0.01926792,0.01926792,0.079116724,0.100798994
M4902-1.02,D19B,-0.019066418,0.019066418,0.1293424,0.1491354
M5252-1.02,tup,0.018853698,0.018853698,0.09136117,0.10952487
M5019-1.02,HLHm3,0.01857134,0.01857134,0.08183027,0.1260336
M1098-1.02,dve,-0.018080277,0.018080277,0.08208753,0.10773298
M5006-1.02,Hey,0.018019779,0.018019779,0.084723145,0.09145114
M5022-1.02,HLHm7,-0.01768531,0.01768531,0.0375888,0.050773032
M1890-1.02,(Nf-YA)_(Homo_sapiens)_(DBD_0.84),0.017512476,0.017512476,0.17506562,0.206731
M5182-1.02,scrt,0.017343394,0.017343394,0.14991358,0.18367364
M6237-1.02,(fd59A)_(Homo_sapiens)_(DBD_0.89),0.017342133,0.017342133,0.086684495,0.101506114
M4859-1.02,CG3838,-0.017288221,0.017288221,0.11629266,0.15520638
M4720-1.02,abd-A,0.017174065,0.017174065,0.16609259,0.21326923
M1524-1.02,(Rfx)_(Apis_mellifera)_(DBD_0.78),-0.017151698,0.017151698,0.024846224,0.03872439
M5233-1.02,sima,-0.017144851,0.017144851,0.04345123,0.049143326
M5208-1.02,Sox15,0.016941227,0.016941227,0.0810304,0.11409427
M5099-1.02,Mad,0.016876036,0.016876036,0.08506682,0.116155915
M2013-1.02,Six4,-0.016713617,0.016713617,0.29628745,0.40055248
M5234-1.02,sim,0.016577726,0.016577726,0.15155835,0.19086571
M5224-1.02,tai,-0.016487712,0.016487712,0.037387263,0.048718106
M2016-1.02,achi,0.01625835,0.01625835,0.14742301,0.17551324
M4939-1.02,Eip93F,-0.016235227,0.016235227,0.034416065,0.05046422
M1102-1.02,CG15696,0.016216006,0.016216006,0.13717456,0.15184462
M2387-1.02,(HLH106)_(Homo_sapiens)_(DBD_0.80),-0.015948681,0.015948681,0.06131132,0.076009005
M5003-1.02,her,-0.015526911,0.015526911,0.028499037,0.0328592
M4953-1.02,Ets97D,-0.015215381,0.015215381,0.09896582,0.10602024
M1986-1.02,CG18599,-0.015027685,0.015027685,0.038680088,0.039587166
M5047-1.02,jigr1,-0.014977392,0.014977392,0.11571645,0.15766649
M4982-1.02,GATAd,0.01465963,0.01465963,0.26623404,0.2959941
M5039-1.02,Hsf,-0.014237806,0.014237806,0.06373763,0.088532396
M4724-1.02,ac,-0.014214889,0.014214889,0.047836185,0.068085745
M4873-1.02,CG6276,-0.014186233,0.014186233,0.16303144,0.18266661
M4813-1.02,CG12155,-0.014161418,0.014161418,0.051451925,0.067006715
M1913-1.02,sna,0.01396609,0.01396609,0.10269673,0.12890086
M4809-1.02,CG11617,0.0138041675,0.0138041675,0.026982129,0.056387004
M2021-1.02,bcd,0.013784518,0.013784518,0.073891886,0.13929139
M4914-1.02,disco,-0.013698351,0.013698351,0.058176033,0.104796916
M4985-1.02,gl,0.013539758,0.013539758,0.039344985,0.055669382
M4840-1.02,CG31670,-0.013519296,0.013519296,0.036689878,0.046646323
M0723-1.02,(CG9571)_(Mus_musculus)_(DBD_0.64),0.013486667,0.013486667,0.033392016,0.040561944
M4672-1.02,E2f,0.013332316,0.013332316,0.03492324,0.040625036
M1837-1.02,(lz)_(Mus_musculus)_(DBD_0.71),0.013291723,0.013291723,0.06043609,0.076126926
M2325-1.02,BEAF-32,0.01312493,0.01312493,0.06580758,0.08152117
M0967-1.02,(CG34367)_(Mus_musculus)_(DBD_0.96),0.013007838,0.013007838,0.072627135,0.08636653
M4869-1.02,CG5180,0.012936065,0.012936065,0.08727534,0.11770924
M4794-1.02,cato,-0.012692218,0.012692218,0.089140736,0.096107475
M4977-1.02,ftz,0.012656385,0.012656385,0.04645072,0.061682902
M5241-1.02,tin,-0.01241286,0.01241286,0.07004841,0.08653694
M1469-1.02,Hr46,0.012066919,0.012066919,0.09813268,0.11797527
M5004-1.02,Her,0.011979084,0.011979084,0.039085742,0.051109046
M5704-1.02,(prd)_(Homo_sapiens)_(DBD_0.77),0.011963737,0.011963737,0.08841483,0.10473303
M4743-1.02,ara,-0.011907663,0.011907663,0.07546153,0.09522731
M1977-1.02,B-H1,-0.011801092,0.011801092,0.028016847,0.04389063
M4808-1.02,CG11504,0.011688187,0.011688187,0.11979247,0.14032105
M5103-1.02,Mes2,0.011599231,0.011599231,0.05715006,0.07817687
M2002-1.02,Lag1,0.011563363,0.011563363,0.22125183,0.27607638
M5121-1.02,odd,0.011422028,0.011422028,0.050585862,0.06586171
M2263-1.02,ttk,0.01141179,0.01141179,0.10937046,0.12552832
M1090-1.02,ems,-0.011215543,0.011215543,0.028462527,0.042133592
M4911-1.02,dimm,-0.011199363,0.011199363,0.050595853,0.06000761
M4860-1.02,CG3919,-0.010930501,0.010930501,0.03984548,0.05050058
M2259-1.02,opa,0.010894649,0.010894649,0.25391656,0.34953687
M5060-1.02,Kr,-0.010793331,0.010793331,0.048187256,0.05393277
M4878-1.02,CG7386,-0.010727939,0.010727939,0.08191072,0.09526195
M4879-1.02,CG7745,-0.010719881,0.010719881,0.034148205,0.061243914
M5037-1.02,Hr83,-0.01051661,0.01051661,0.09363435,0.108963765
M5263-1.02,Usf,0.010458744,0.010458744,0.06774409,0.0937405
M1104-1.02,FBgn0054031,-0.010440159,0.010440159,0.15078254,0.19010836
M1850-1.02,usp,0.010420267,0.010420267,0.048403505,0.06432046
M6166-1.02,(CG6905)_(Homo_sapiens)_(DBD_0.97),-0.010161627,0.010161627,0.07835564,0.09113216
M5203-1.02,sob,-0.010084269,0.010084269,0.10866363,0.18445833
M4787-1.02,byn,-0.0100062005,0.0100062005,0.019227585,0.034094863
M5158-1.02,Poxm,0.009927653,0.009927653,0.034557275,0.0559805
M4857-1.02,CG3407,0.009917915,0.009917915,0.13815536,0.15259705
M5079-1.02,lmd,-0.009899841,0.009899841,0.15634961,0.25237033
M4735-1.02,amos,-0.009812213,0.009812213,0.10152093,0.12653068
M1088-1.02,Dll,0.00979335,0.00979335,0.035389256,0.05303023
M1519-1.02,(NFAT)_(Gallus_gallus)_(DBD_0.58),0.009733734,0.009733734,0.035751462,0.040391386
M4913-1.02,disco-r,-0.009616331,0.009616331,0.28416047,0.30358198
M5149-1.02,PHDP,0.009560577,0.009560577,0.04547992,0.062390275
M4876-1.02,CG7368,0.009486362,0.009486362,0.08300355,0.15279678
M1912-1.02,Su(H),0.009290471,0.009290471,0.025947554,0.036621056
M4904-1.02,Deaf1,0.0089004915,0.0089004915,0.02524828,0.051018536
M5048-1.02,jim,0.00889353,0.00889353,0.02103849,0.031990845
M4750-1.02,ato,0.008710345,0.008710345,0.069820754,0.110187255
M1960-1.02,(Sox21a)_(Mus_musculus)_(DBD_0.93),-0.008654453,0.008654453,0.040329754,0.06067295
M0135-1.02,Xrp1,0.0086098295,0.0086098295,0.18626037,0.21493015
M5035-1.02,Hr51,-0.008539659,0.008539659,0.1408623,0.19431117
M4765-1.02,bin,-0.00852653,0.00852653,0.036370583,0.04350079
M6186-1.02,(CG7786)_(Homo_sapiens)_(DBD_0.56),0.00850765,0.00850765,0.042939663,0.052681733
M4673-1.02,fkh,-0.008439888,0.008439888,0.09683,0.11335449
M4708-1.02,(Tbp)_(Homo_sapiens)_(DBD_0.90),-0.008354384,0.008354384,0.0643837,0.08038487
M4898-1.02,crol,0.008297384,0.008297384,0.047740452,0.06712996
M1992-1.02,CG7056,-0.0081096385,0.0081096385,0.076238014,0.09585349
M5147-1.02,peb,-0.008042696,0.008042696,0.029964106,0.037055973
M4633-1.02,(bs)_(Homo_sapiens)_(DBD_0.96),-0.008021046,0.008021046,0.07809589,0.09887783
M5101-1.02,Mnt,-0.008013641,0.008013641,0.025141649,0.03509223
M4677-1.02,kni,0.008004353,0.008004353,0.02913273,0.045187417
M4962-1.02,exex,-0.0077400557,0.0077400557,0.27393323,0.30760673
M5222-1.02,sv,0.0077130455,0.0077130455,0.092464425,0.102901794
M5024-1.02,HLHmdelta,-0.0075029507,0.0075029507,0.026196484,0.035982948
M4937-1.02,Eip75B,0.0074450443,0.0074450443,0.022764085,0.027097357
M5104-1.02,Met,0.0074237846,0.0074237846,0.045140892,0.05186369
M1470-1.02,ftz-f1,0.0073471046,0.0073471046,0.04833999,0.054149434
M2061-1.02,vvl,0.007331435,0.007331435,0.25439152,0.29759753
M5272-1.02,vri,0.007179699,0.007179699,0.02512993,0.03306838
M4803-1.02,CG11071,0.007151807,0.007151807,0.081320725,0.101913914
M4926-1.02,dsf,-0.0070897453,0.0070897453,0.029905463,0.039484356
M4883-1.02,CG8319,0.0070249056,0.0070249056,0.047350597,0.07126634
M1242-1.02,FBpp0073832,0.0069883433,0.0069883433,0.025202205,0.038777348
M4948-1.02,esg,-0.006968612,0.006968612,0.033993624,0.039029904
M6394-1.02,(Hr38)_(Homo_sapiens)_(DBD_0.90),-0.00695264,0.00695264,0.04973644,0.06454439
M1975-1.02,Antp,-0.006928777,0.006928777,0.0416286,0.07479819
M5247-1.02,Trl,0.006800441,0.006800441,0.031103877,0.035313167
M4826-1.02,CG15601,-0.006775628,0.006775628,0.051133838,0.0639103
M5107-1.02,Mio,-0.006728901,0.006728901,0.13643532,0.16643977
M4800-1.02,CG10267,0.006550266,0.006550266,0.07153166,0.09263081
M4788-1.02,C15,-0.0065279254,0.0065279254,0.05314573,0.060940433
M4670-1.02,CTCF,-0.0064168605,0.0064168605,0.088213965,0.10927891
M4866-1.02,CG4404,0.006411453,0.006411453,0.05682372,0.06907598
M4526-1.02,(mor)_(Homo_sapiens)_(DBD_0.89),-0.0063824295,0.0063824295,0.041978803,0.04518782
M4921-1.02,Doc2,-0.00633258,0.00633258,0.045375675,0.06611149
M4880-1.02,CG7928,0.0062978715,0.0062978715,0.022921948,0.031408083
M5148-1.02,pfk,0.006274699,0.006274699,0.056305815,0.06909657
M1858-1.02,Eip74EF,-0.006225398,0.006225398,0.039672464,0.057481155
M1529-1.02,(CG9727)_(Mus_musculus)_(DBD_0.51),-0.0062079555,0.0062079555,0.027525483,0.036256127
M4938-1.02,Eip78C,-0.0061982,0.0061982,0.09848032,0.10883798
M5265-1.02,vfl,-0.0061682793,0.0061682793,0.04014519,0.04892436
M4893-1.02,Clk,0.006114535,0.006114535,0.04075553,0.052490495
M6235-1.02,(croc)_(Homo_sapiens)_(DBD_0.92),0.0059465505,0.0059465505,0.025374709,0.029197887
M1946-1.02,ovo,0.0058913925,0.0058913925,0.023673397,0.035403226
M0319-1.02,(CrebB-17A)_(Mus_musculus)_(DBD_0.79),0.005853085,0.005853085,0.014561325,0.026965078
M4886-1.02,CG9437,-0.005836773,0.005836773,0.020750165,0.02991705
M4973-1.02,foxo,0.0056823855,0.0056823855,0.025597483,0.0291784
M4771-1.02,br,-0.005651421,0.005651421,0.051816728,0.07378492
M6277-1.02,(Pdp1)_(Homo_sapiens)_(DBD_0.68),0.005632862,0.005632862,0.05355861,0.06935512
M5050-1.02,Jra,-0.0055205435,0.0055205435,0.042181887,0.050270773
M2026-1.02,caup,0.005472628,0.005472628,0.035975274,0.046223573
M5256-1.02,twi,-0.0054530217,0.0054530217,0.095897876,0.11304836
M4906-1.02,FBgn0263118,-0.0054363823,0.0054363823,0.032548487,0.041798096
M4900-1.02,cwo,0.0053036017,0.0053036017,0.11276283,0.12787816
M5043-1.02,ind,0.0053008622,0.0053008622,0.014586487,0.02018397
M0817-1.02,gcm2,0.0052625635,0.0052625635,0.024717469,0.03126649
M2328-1.02,SU(HW),-0.0052469536,0.0052469536,0.04838223,0.06594142
M1471-1.02,tll,-0.005208863,0.005208863,0.05482783,0.07771606
M4829-1.02,FBgn0263240,-0.0051533217,0.0051533217,0.04786131,0.057552077
M4885-1.02,CG8765,0.005116573,0.005116573,0.019007655,0.027643554
M5034-1.02,Hr4,0.0050787004,0.0050787004,0.04104845,0.04765943
M4934-1.02,eg,0.0050642467,0.0050642467,0.24283387,0.28904176
M4802-1.02,CG10904,0.004998047,0.004998047,0.05030899,0.06143003
M1099-1.02,Ptx1,0.004842133,0.004842133,0.03755577,0.04188232
M5283-1.02,z,0.004668053,0.004668053,0.023201471,0.028869547
M4850-1.02,CG33557,-0.0046220133,0.0046220133,0.046856154,0.059305303
M5213-1.02,srp,0.004603679,0.004603679,0.09149649,0.10863954
M4770-1.02,brk,-0.0045872736,0.0045872736,0.098320015,0.110838875
M5186-1.02,sens-2,-0.0045573832,0.0045573832,0.03407079,0.045147285
M1103-1.02,Vsx2,-0.004538581,0.004538581,0.059701946,0.06835975
M1097-1.02,Awh,-0.004477603,0.004477603,0.025762387,0.03666499
M5018-1.02,HLH54F,-0.0044679996,0.0044679996,0.1181725,0.16010816
M4889-1.02,FBgn0261705,0.0044214698,0.0044214698,0.014999574,0.030936757
M4674-1.02,pnr,0.0043834294,0.0043834294,0.05258312,0.07003486
M1106-1.02,CG42234,0.0043736356,0.0043736356,0.008746877,0.013847675
M4983-1.02,GATAe,0.0043678205,0.0043678205,0.08365621,0.0920715
M5164-1.02,repo,0.0043361853,0.0043361853,0.06253045,0.068272494
